hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
0,1,1,0,3,0,no,yes,20.0,no,no,yes,no,no
0,0,5,0,2,0,no,yes,1.0,no,no,no,no,no
1,0,1,0,1,0,no,yes,11.0,no,no,no,no,no
1,0,5,0,4,0,no,yes,105.0,no,no,no,no,no
1,0,22,1,4,0,yes,yes,105.0,no,no,yes,no,no
2,0,8,1,4,1,no,yes,45.0,no,no,no,no,no
0,1,5,2,2,0,no,yes,65.0,no,no,no,no,no
0,0,2,1,1,0,yes,yes,11.0,no,no,no,no,no
1,0,8,2,3,1,yes,yes,65.0,no,no,no,no,yes
1,0,10,1,4,2,no,no,,no,no,no,no,no
1,0,6,1,2,0,no,no,,no,no,no,no,no
2,0,5,0,2,2,yes,yes,11.0,no,no,no,no,no
0,0,1,0,1,1,no,yes,50.0,no,no,no,no,no
0,1,7,1,4,0,no,yes,85.0,no,no,no,no,no
1,0,8,0,5,0,no,yes,85.0,no,no,no,no,no
0,0,2,0,2,0,no,no,,no,no,no,no,no
0,0,3,0,2,0,no,yes,60.0,no,no,no,no,no
3,1,5,0,3,0,no,yes,75.0,no,no,no,no,no
0,0,5,1,4,0,no,yes,65.0,no,no,yes,no,yes
0,1,3,0,2,0,no,yes,11.0,no,no,yes,no,no
1,0,3,0,2,0,no,yes,15.0,no,no,no,no,yes
1,0,5,1,2,0,no,yes,2.0,no,no,no,no,no
1,1,6,2,1,0,yes,yes,45.0,no,no,no,no,no
1,0,3,1,2,0,no,yes,45.0,no,no,no,no,no
1,4,8,3,4,2,yes,yes,30.0,no,no,yes,no,yes
1,2,7,1,3,2,no,yes,40.0,no,no,no,no,yes
2,2,9,1,6,1,no,yes,50.0,no,no,no,no,yes
0,0,9,0,5,2,yes,yes,100.0,no,no,yes,no,yes
2,2,7,2,4,1,yes,yes,20.0,no,no,yes,no,yes
1,0,4,1,3,2,yes,yes,40.0,no,no,no,no,yes
1,0,11,2,5,1,yes,yes,50.0,no,no,no,no,yes
2,0,8,3,3,2,yes,yes,20.0,no,no,no,no,yes
1,1,6,1,3,2,yes,yes,50.0,no,no,no,no,no
3,0,7,1,8,1,yes,yes,30.0,no,no,no,no,yes
3,0,7,0,4,2,yes,yes,40.0,no,no,yes,no,yes
3,0,7,0,3,1,no,yes,40.0,no,no,no,no,no
3,0,11,2,8,3,yes,no,,no,yes,no,no,yes
4,0,11,1,5,2,yes,yes,30.0,no,no,no,no,yes
2,2,5,1,3,2,yes,yes,50.0,no,no,no,no,yes
1,0,5,0,4,1,yes,yes,40.0,no,no,no,no,yes
0,2,8,1,2,1,no,yes,40.0,no,no,no,no,no
1,2,8,0,5,1,yes,yes,80.0,no,no,yes,no,yes
3,0,12,2,4,2,yes,yes,120.0,no,no,yes,no,yes
